/*venta*/
INSERT INTO venta VALUES(1, 'Sin IVA', 9);
INSERT INTO venta VALUES(53, 'Sin IVA', 29);
INSERT INTO venta VALUES(54, 'Navidad', 105);
INSERT INTO venta VALUES(55, 'Black Friday', 66);
INSERT INTO venta VALUES(56, 'Halloween', 72);
INSERT INTO venta VALUES(57, 'Navidad', 35);
INSERT INTO venta VALUES(58, 'San Valentin', 20);
INSERT INTO venta VALUES(59, 'Escolar', 94);
INSERT INTO venta VALUES(60, 'Black Friday', 7);
INSERT INTO venta VALUES(61, 'Sin IVA', 47);
INSERT INTO venta VALUES(62, 'Escolar', 23);
INSERT INTO venta VALUES(63, 'Halloween', 125);
INSERT INTO venta VALUES(64, 'San Valentin', 20);
INSERT INTO venta VALUES(65, 'Navidad', 33);
INSERT INTO venta VALUES(66, 'Navidad', 140);
INSERT INTO venta VALUES(67, 'Navidad', 3);
INSERT INTO venta VALUES(68, 'Sin IVA', 99);
INSERT INTO venta VALUES(69, 'Año nuevo', 77);
INSERT INTO venta VALUES(70, 'Navidad', 78);
INSERT INTO venta VALUES(71, 'Navidad', 104);
INSERT INTO venta VALUES(72, 'Navidad', 98);
INSERT INTO venta VALUES(73, 'Año nuevo', 28);
INSERT INTO venta VALUES(74, 'Escolar', 43);
INSERT INTO venta VALUES(75, 'Black Friday', 148);
INSERT INTO venta VALUES(76, 'Navidad', 31);
INSERT INTO venta VALUES(77, 'Año nuevo', 115);
INSERT INTO venta VALUES(78, 'San Valentin', 32);
INSERT INTO venta VALUES(79, 'Halloween', 43);
INSERT INTO venta VALUES(80, 'Escolar', 24);
INSERT INTO venta VALUES(81, 'Escolar', 118);
INSERT INTO venta VALUES(82, 'San Valentin', 116);
INSERT INTO venta VALUES(83, 'Escolar', 138);
INSERT INTO venta VALUES(84, 'Sin IVA', 1);
INSERT INTO venta VALUES(85, 'Escolar', 53);
INSERT INTO venta VALUES(86, 'Año nuevo', 71);
INSERT INTO venta VALUES(87, 'Escolar', 35);
INSERT INTO venta VALUES(88, 'Escolar', 60);
INSERT INTO venta VALUES(89, 'Navidad', 33);
INSERT INTO venta VALUES(90, 'San Valentin', 5);
INSERT INTO venta VALUES(91, 'Año nuevo', 145);
INSERT INTO venta VALUES(92, 'Sin IVA', 97);
INSERT INTO venta VALUES(93, 'Black Friday', 135);
INSERT INTO venta VALUES(94, 'Sin IVA', 77);
INSERT INTO venta VALUES(95, 'Black Friday', 40);
INSERT INTO venta VALUES(96, 'Año nuevo', 22);
INSERT INTO venta VALUES(97, 'Sin IVA', 88);
INSERT INTO venta VALUES(98, 'Sin IVA', 51);
INSERT INTO venta VALUES(99, 'Año nuevo', 94);
INSERT INTO venta VALUES(100, 'Escolar', 89);
INSERT INTO venta VALUES(101, 'Año nuevo', 49);
INSERT INTO venta VALUES(102, 'Año nuevo', 16);
INSERT INTO venta VALUES(103, 'Navidad', 43);
INSERT INTO venta VALUES(104, 'Año nuevo', 118);
INSERT INTO venta VALUES(105, 'San Valentin', 9);
INSERT INTO venta VALUES(106, 'Navidad', 47);
INSERT INTO venta VALUES(107, 'Sin IVA', 11);
INSERT INTO venta VALUES(108, 'San Valentin', 76);
INSERT INTO venta VALUES(109, 'Año nuevo', 38);
INSERT INTO venta VALUES(110, 'Sin IVA', 15);
INSERT INTO venta VALUES(111, 'Sin IVA', 113);
INSERT INTO venta VALUES(112, 'Escolar', 51);
INSERT INTO venta VALUES(113, 'Navidad', 74);
INSERT INTO venta VALUES(114, 'Black Friday', 69);
INSERT INTO venta VALUES(115, 'Escolar', 120);
INSERT INTO venta VALUES(116, 'Halloween', 79);
INSERT INTO venta VALUES(117, 'San Valentin', 86);
INSERT INTO venta VALUES(118, 'Escolar', 63);
INSERT INTO venta VALUES(119, 'Navidad', 8);
INSERT INTO venta VALUES(120, 'Black Friday', 15);
INSERT INTO venta VALUES(121, 'Sin IVA', 21);
INSERT INTO venta VALUES(122, 'Navidad', 143);
INSERT INTO venta VALUES(123, 'Escolar', 93);
INSERT INTO venta VALUES(124, 'Sin IVA', 95);
INSERT INTO venta VALUES(125, 'Navidad', 93);
INSERT INTO venta VALUES(126, 'Año nuevo', 103);
INSERT INTO venta VALUES(127, 'Navidad', 111);
INSERT INTO venta VALUES(128, 'Escolar', 76);
INSERT INTO venta VALUES(129, 'Sin IVA', 108);
INSERT INTO venta VALUES(130, 'Black Friday', 38);
INSERT INTO venta VALUES(131, 'Halloween', 130);
INSERT INTO venta VALUES(132, 'Escolar', 15);
INSERT INTO venta VALUES(133, 'Año nuevo', 146);
INSERT INTO venta VALUES(134, 'Halloween', 101);
INSERT INTO venta VALUES(135, 'Escolar', 100);
INSERT INTO venta VALUES(136, 'San Valentin', 8);
INSERT INTO venta VALUES(137, 'Escolar', 122);
INSERT INTO venta VALUES(138, 'Black Friday', 111);
INSERT INTO venta VALUES(139, 'Navidad', 79);
INSERT INTO venta VALUES(140, 'Halloween', 65);
INSERT INTO venta VALUES(141, 'Año nuevo', 27);
INSERT INTO venta VALUES(142, 'Escolar', 23);
INSERT INTO venta VALUES(143, 'Escolar', 131);
INSERT INTO venta VALUES(144, 'San Valentin', 41);
INSERT INTO venta VALUES(145, 'Halloween', 37);
INSERT INTO venta VALUES(146, 'Escolar', 128);
INSERT INTO venta VALUES(147, 'Halloween', 96);
INSERT INTO venta VALUES(148, 'Escolar', 121);
INSERT INTO venta VALUES(149, 'Navidad', 126);
INSERT INTO venta VALUES(150, 'Black Friday', 106);
INSERT INTO venta VALUES(151, 'Black Friday', 88);
INSERT INTO venta VALUES(152, 'Halloween', 66);
INSERT INTO venta VALUES(153, 'San Valentin', 12);
INSERT INTO venta VALUES(154, 'Sin IVA', 67);
INSERT INTO venta VALUES(155, 'Navidad', 63);
INSERT INTO venta VALUES(156, 'Escolar', 39);
INSERT INTO venta VALUES(157, 'Sin IVA', 16);
INSERT INTO venta VALUES(158, 'Sin IVA', 34);
INSERT INTO venta VALUES(159, 'Sin IVA', 101);
INSERT INTO venta VALUES(160, 'Halloween', 127);
INSERT INTO venta VALUES(161, 'Black Friday', 50);
INSERT INTO venta VALUES(162, 'Sin IVA', 115);
INSERT INTO venta VALUES(163, 'Black Friday', 128);
INSERT INTO venta VALUES(164, 'Año nuevo', 114);
INSERT INTO venta VALUES(165, 'San Valentin', 140);
INSERT INTO venta VALUES(166, 'Halloween', 75);
INSERT INTO venta VALUES(167, 'Halloween', 58);
INSERT INTO venta VALUES(168, 'Halloween', 64);
INSERT INTO venta VALUES(169, 'Año nuevo', 110);
INSERT INTO venta VALUES(170, 'Halloween', 125);
INSERT INTO venta VALUES(171, 'Escolar', 16);
INSERT INTO venta VALUES(172, 'Sin IVA', 44);
INSERT INTO venta VALUES(173, 'Sin IVA', 67);
INSERT INTO venta VALUES(174, 'San Valentin', 102);
INSERT INTO venta VALUES(175, 'Sin IVA', 120);
INSERT INTO venta VALUES(176, 'Escolar', 74);
INSERT INTO venta VALUES(177, 'Halloween', 36);
INSERT INTO venta VALUES(178, 'Año nuevo', 77);
INSERT INTO venta VALUES(179, 'Halloween', 125);
INSERT INTO venta VALUES(180, 'Black Friday', 21);
INSERT INTO venta VALUES(181, 'Halloween', 3);
INSERT INTO venta VALUES(182, 'Navidad', 144);
INSERT INTO venta VALUES(183, 'San Valentin', 8);
INSERT INTO venta VALUES(184, 'Black Friday', 31);
INSERT INTO venta VALUES(185, 'San Valentin', 121);
INSERT INTO venta VALUES(186, 'Sin IVA', 63);
INSERT INTO venta VALUES(187, 'Halloween', 17);
INSERT INTO venta VALUES(188, 'Halloween', 78);
INSERT INTO venta VALUES(189, 'Sin IVA', 73);
INSERT INTO venta VALUES(190, 'Navidad', 129);
INSERT INTO venta VALUES(191, 'Sin IVA', 146);
INSERT INTO venta VALUES(192, 'Escolar', 72);
INSERT INTO venta VALUES(193, 'Sin IVA', 22);
INSERT INTO venta VALUES(194, 'Black Friday', 69);
INSERT INTO venta VALUES(195, 'Navidad', 137);
INSERT INTO venta VALUES(196, 'Escolar', 25);
INSERT INTO venta VALUES(197, 'Año nuevo', 142);
INSERT INTO venta VALUES(198, 'San Valentin', 27);
INSERT INTO venta VALUES(199, 'Escolar', 85);
INSERT INTO venta VALUES(200, 'Sin IVA', 72);
INSERT INTO venta VALUES(201, 'Navidad', 138);
INSERT INTO venta VALUES(202, 'Black Friday', 28);
INSERT INTO venta VALUES(203, 'San Valentin', 68);
INSERT INTO venta VALUES(204, 'Black Friday', 105);
INSERT INTO venta VALUES(205, 'Halloween', 70);
INSERT INTO venta VALUES(206, 'Año nuevo', 126);
INSERT INTO venta VALUES(207, 'Halloween', 69);
INSERT INTO venta VALUES(208, 'San Valentin', 127);
INSERT INTO venta VALUES(209, 'San Valentin', 112);
INSERT INTO venta VALUES(210, 'Escolar', 98);
INSERT INTO venta VALUES(211, 'Black Friday', 130);
INSERT INTO venta VALUES(212, 'Black Friday', 117);
INSERT INTO venta VALUES(213, 'Navidad', 26);
INSERT INTO venta VALUES(214, 'Año nuevo', 30);
INSERT INTO venta VALUES(215, 'Halloween', 20);
INSERT INTO venta VALUES(216, 'Halloween', 92);
INSERT INTO venta VALUES(217, 'Escolar', 69);
INSERT INTO venta VALUES(218, 'Navidad', 32);
INSERT INTO venta VALUES(219, 'Escolar', 128);
INSERT INTO venta VALUES(220, 'Año nuevo', 22);
INSERT INTO venta VALUES(221, 'Sin IVA', 5);
INSERT INTO venta VALUES(222, 'Black Friday', 150);
INSERT INTO venta VALUES(223, 'San Valentin', 41);
INSERT INTO venta VALUES(224, 'Sin IVA', 38);
INSERT INTO venta VALUES(225, 'Año nuevo', 78);
INSERT INTO venta VALUES(226, 'Halloween', 41);
INSERT INTO venta VALUES(227, 'Black Friday', 54);
INSERT INTO venta VALUES(228, 'Escolar', 45);
INSERT INTO venta VALUES(229, 'San Valentin', 21);
INSERT INTO venta VALUES(230, 'San Valentin', 145);
INSERT INTO venta VALUES(231, 'Navidad', 106);
INSERT INTO venta VALUES(232, 'Navidad', 2);
INSERT INTO venta VALUES(233, 'Año nuevo', 26);
INSERT INTO venta VALUES(234, 'Navidad', 30);
INSERT INTO venta VALUES(235, 'Escolar', 75);
INSERT INTO venta VALUES(236, 'Halloween', 79);
INSERT INTO venta VALUES(237, 'Año nuevo', 72);
INSERT INTO venta VALUES(238, 'Sin IVA', 140);
INSERT INTO venta VALUES(239, 'Navidad', 61);
INSERT INTO venta VALUES(240, 'Año nuevo', 49);
INSERT INTO venta VALUES(241, 'Black Friday', 72);
INSERT INTO venta VALUES(242, 'Año nuevo', 109);
INSERT INTO venta VALUES(243, 'Navidad', 96);
INSERT INTO venta VALUES(244, 'Sin IVA', 103);
INSERT INTO venta VALUES(245, 'Escolar', 140);
INSERT INTO venta VALUES(246, 'Navidad', 9);
INSERT INTO venta VALUES(247, 'Navidad', 32);
INSERT INTO venta VALUES(248, 'Escolar', 79);
INSERT INTO venta VALUES(249, 'Sin IVA', 1);
INSERT INTO venta VALUES(250, 'Escolar', 65);
INSERT INTO venta VALUES(251, 'Sin IVA', 123);
INSERT INTO venta VALUES(252, 'Sin IVA', 36);
INSERT INTO venta VALUES(253, 'Black Friday', 83);
INSERT INTO venta VALUES(254, 'San Valentin', 5);
INSERT INTO venta VALUES(255, 'Black Friday', 93);
INSERT INTO venta VALUES(256, 'Escolar', 71);
INSERT INTO venta VALUES(257, 'Año nuevo', 58);
INSERT INTO venta VALUES(258, 'Navidad', 77);
INSERT INTO venta VALUES(259, 'Escolar', 60);
INSERT INTO venta VALUES(260, 'Año nuevo', 69);
INSERT INTO venta VALUES(261, 'Sin IVA', 17);
INSERT INTO venta VALUES(262, 'Año nuevo', 65);
INSERT INTO venta VALUES(263, 'Sin IVA', 18);
INSERT INTO venta VALUES(264, 'Año nuevo', 60);
INSERT INTO venta VALUES(265, 'San Valentin', 58);
INSERT INTO venta VALUES(266, 'Black Friday', 52);
INSERT INTO venta VALUES(267, 'Navidad', 145);
INSERT INTO venta VALUES(268, 'Año nuevo', 38);
INSERT INTO venta VALUES(269, 'Escolar', 69);
INSERT INTO venta VALUES(270, 'Año nuevo', 107);
INSERT INTO venta VALUES(271, 'San Valentin', 53);
INSERT INTO venta VALUES(272, 'Black Friday', 140);
INSERT INTO venta VALUES(273, 'Navidad', 83);
INSERT INTO venta VALUES(274, 'Navidad', 142);
INSERT INTO venta VALUES(275, 'Año nuevo', 16);
INSERT INTO venta VALUES(276, 'Año nuevo', 37);
INSERT INTO venta VALUES(277, 'Navidad', 68);
INSERT INTO venta VALUES(278, 'Escolar', 23);
INSERT INTO venta VALUES(279, 'San Valentin', 1);
INSERT INTO venta VALUES(280, 'San Valentin', 110);
INSERT INTO venta VALUES(281, 'Navidad', 91);
INSERT INTO venta VALUES(282, 'Halloween', 41);
INSERT INTO venta VALUES(283, 'Sin IVA', 121);
INSERT INTO venta VALUES(284, 'San Valentin', 107);
INSERT INTO venta VALUES(285, 'San Valentin', 49);
INSERT INTO venta VALUES(286, 'Halloween', 36);
INSERT INTO venta VALUES(287, 'San Valentin', 83);
INSERT INTO venta VALUES(288, 'Sin IVA', 146);
INSERT INTO venta VALUES(289, 'Navidad', 78);
INSERT INTO venta VALUES(290, 'Black Friday', 101);
INSERT INTO venta VALUES(291, 'San Valentin', 117);
INSERT INTO venta VALUES(292, 'San Valentin', 70);
INSERT INTO venta VALUES(293, 'Navidad', 88);
INSERT INTO venta VALUES(294, 'Halloween', 142);
INSERT INTO venta VALUES(295, 'Navidad', 80);
INSERT INTO venta VALUES(296, 'Año nuevo', 86);
INSERT INTO venta VALUES(297, 'San Valentin', 113);
INSERT INTO venta VALUES(298, 'Escolar', 99);
INSERT INTO venta VALUES(299, 'Sin IVA', 69);
INSERT INTO venta VALUES(300, 'Navidad', 13);
INSERT INTO venta VALUES(301, 'Sin IVA', 150);
INSERT INTO venta VALUES(302, 'San Valentin', 23);
INSERT INTO venta VALUES(303, 'Black Friday', 35);
INSERT INTO venta VALUES(304, 'Navidad', 121);
INSERT INTO venta VALUES(305, 'Halloween', 19);
INSERT INTO venta VALUES(306, 'Black Friday', 10);
INSERT INTO venta VALUES(307, 'Halloween', 98);
INSERT INTO venta VALUES(308, 'Sin IVA', 107);
INSERT INTO venta VALUES(309, 'Sin IVA', 13);
INSERT INTO venta VALUES(310, 'Escolar', 52);
INSERT INTO venta VALUES(311, 'Año nuevo', 2);
INSERT INTO venta VALUES(312, 'Sin IVA', 49);
INSERT INTO venta VALUES(313, 'Navidad', 123);
INSERT INTO venta VALUES(314, 'Escolar', 33);
INSERT INTO venta VALUES(315, 'Año nuevo', 19);
INSERT INTO venta VALUES(316, 'Halloween', 136);
INSERT INTO venta VALUES(317, 'Escolar', 64);
INSERT INTO venta VALUES(318, 'Sin IVA', 19);
INSERT INTO venta VALUES(319, 'Navidad', 7);
INSERT INTO venta VALUES(320, 'Sin IVA', 91);
INSERT INTO venta VALUES(321, 'Escolar', 60);
INSERT INTO venta VALUES(322, 'Navidad', 141);
INSERT INTO venta VALUES(323, 'Año nuevo', 75);
INSERT INTO venta VALUES(324, 'Año nuevo', 53);
INSERT INTO venta VALUES(325, 'Sin IVA', 66);
INSERT INTO venta VALUES(326, 'Escolar', 53);
INSERT INTO venta VALUES(327, 'Sin IVA', 16);
INSERT INTO venta VALUES(328, 'Sin IVA', 135);
INSERT INTO venta VALUES(329, 'Black Friday', 98);
INSERT INTO venta VALUES(330, 'Escolar', 4);
INSERT INTO venta VALUES(331, 'San Valentin', 55);
INSERT INTO venta VALUES(332, 'Black Friday', 54);
INSERT INTO venta VALUES(333, 'Halloween', 48);
INSERT INTO venta VALUES(334, 'Navidad', 137);
INSERT INTO venta VALUES(335, 'Navidad', 87);
INSERT INTO venta VALUES(336, 'Escolar', 52);
INSERT INTO venta VALUES(337, 'Black Friday', 66);
INSERT INTO venta VALUES(338, 'San Valentin', 148);
INSERT INTO venta VALUES(339, 'Black Friday', 34);
INSERT INTO venta VALUES(340, 'Navidad', 126);
INSERT INTO venta VALUES(341, 'Escolar', 1);
INSERT INTO venta VALUES(342, 'Año nuevo', 128);
INSERT INTO venta VALUES(343, 'Sin IVA', 67);
INSERT INTO venta VALUES(344, 'Sin IVA', 131);
INSERT INTO venta VALUES(345, 'San Valentin', 91);
INSERT INTO venta VALUES(346, 'Navidad', 143);
INSERT INTO venta VALUES(347, 'Escolar', 62);
INSERT INTO venta VALUES(348, 'Año nuevo', 121);
INSERT INTO venta VALUES(349, 'Año nuevo', 16);
INSERT INTO venta VALUES(350, 'San Valentin', 37);
INSERT INTO venta VALUES(351, 'Año nuevo', 119);
INSERT INTO venta VALUES(352, 'Black Friday', 2);
INSERT INTO venta VALUES(353, 'Navidad', 34);
INSERT INTO venta VALUES(354, 'Año nuevo', 108);
INSERT INTO venta VALUES(355, 'Escolar', 119);
INSERT INTO venta VALUES(356, 'Navidad', 125);
INSERT INTO venta VALUES(357, 'Sin IVA', 16);
INSERT INTO venta VALUES(358, 'Navidad', 76);
INSERT INTO venta VALUES(359, 'Black Friday', 21);
INSERT INTO venta VALUES(360, 'Escolar', 29);
INSERT INTO venta VALUES(361, 'San Valentin', 118);
INSERT INTO venta VALUES(362, 'Sin IVA', 121);
INSERT INTO venta VALUES(363, 'Black Friday', 56);
INSERT INTO venta VALUES(364, 'Año nuevo', 105);
INSERT INTO venta VALUES(365, 'San Valentin', 24);
INSERT INTO venta VALUES(366, 'Navidad', 90);
INSERT INTO venta VALUES(367, 'Año nuevo', 7);
INSERT INTO venta VALUES(368, 'San Valentin', 58);
INSERT INTO venta VALUES(369, 'Halloween', 52);
INSERT INTO venta VALUES(370, 'Año nuevo', 138);
INSERT INTO venta VALUES(371, 'San Valentin', 93);
INSERT INTO venta VALUES(372, 'Halloween', 94);
INSERT INTO venta VALUES(373, 'Black Friday', 100);
INSERT INTO venta VALUES(374, 'Año nuevo', 18);
INSERT INTO venta VALUES(375, 'Halloween', 89);
INSERT INTO venta VALUES(376, 'Año nuevo', 26);
INSERT INTO venta VALUES(377, 'Año nuevo', 132);
INSERT INTO venta VALUES(378, 'Escolar', 88);
INSERT INTO venta VALUES(379, 'Halloween', 6);
INSERT INTO venta VALUES(380, 'Black Friday', 69);
INSERT INTO venta VALUES(381, 'Halloween', 116);
INSERT INTO venta VALUES(382, 'Black Friday', 118);
INSERT INTO venta VALUES(383, 'Black Friday', 131);
INSERT INTO venta VALUES(384, 'Halloween', 21);
INSERT INTO venta VALUES(385, 'Escolar', 112);
INSERT INTO venta VALUES(386, 'Año nuevo', 116);
INSERT INTO venta VALUES(387, 'San Valentin', 63);
INSERT INTO venta VALUES(388, 'Halloween', 75);
INSERT INTO venta VALUES(389, 'San Valentin', 102);
INSERT INTO venta VALUES(390, 'Navidad', 31);
INSERT INTO venta VALUES(391, 'Navidad', 5);
INSERT INTO venta VALUES(392, 'Black Friday', 122);
INSERT INTO venta VALUES(393, 'Escolar', 96);
INSERT INTO venta VALUES(394, 'Sin IVA', 43);
INSERT INTO venta VALUES(395, 'San Valentin', 128);
INSERT INTO venta VALUES(396, 'Escolar', 101);
INSERT INTO venta VALUES(397, 'Navidad', 124);
INSERT INTO venta VALUES(398, 'Halloween', 81);
INSERT INTO venta VALUES(399, 'Black Friday', 57);
INSERT INTO venta VALUES(400, 'San Valentin', 96);
INSERT INTO venta VALUES(401, 'Navidad', 80);
INSERT INTO venta VALUES(402, 'Halloween', 41);
INSERT INTO venta VALUES(403, 'Escolar', 47);
INSERT INTO venta VALUES(404, 'Sin IVA', 82);
INSERT INTO venta VALUES(405, 'Año nuevo', 79);
INSERT INTO venta VALUES(406, 'Navidad', 10);
INSERT INTO venta VALUES(407, 'Año nuevo', 97);
INSERT INTO venta VALUES(408, 'Navidad', 88);
INSERT INTO venta VALUES(409, 'Escolar', 93);
INSERT INTO venta VALUES(410, 'Navidad', 26);
INSERT INTO venta VALUES(411, 'Black Friday', 149);
INSERT INTO venta VALUES(412, 'Año nuevo', 122);
INSERT INTO venta VALUES(413, 'Escolar', 101);
INSERT INTO venta VALUES(414, 'Escolar', 52);
INSERT INTO venta VALUES(415, 'Escolar', 20);
INSERT INTO venta VALUES(416, 'Escolar', 128);
INSERT INTO venta VALUES(417, 'San Valentin', 124);
INSERT INTO venta VALUES(418, 'Año nuevo', 52);
INSERT INTO venta VALUES(419, 'San Valentin', 120);
INSERT INTO venta VALUES(420, 'Halloween', 96);
INSERT INTO venta VALUES(421, 'Escolar', 34);
INSERT INTO venta VALUES(422, 'Año nuevo', 42);
INSERT INTO venta VALUES(423, 'Sin IVA', 110);
INSERT INTO venta VALUES(424, 'Año nuevo', 58);
INSERT INTO venta VALUES(425, 'Sin IVA', 34);
INSERT INTO venta VALUES(426, 'Sin IVA', 100);
INSERT INTO venta VALUES(427, 'Sin IVA', 56);
INSERT INTO venta VALUES(428, 'Escolar', 49);
INSERT INTO venta VALUES(429, 'Halloween', 29);
INSERT INTO venta VALUES(430, 'Black Friday', 90);
INSERT INTO venta VALUES(431, 'Escolar', 58);
INSERT INTO venta VALUES(432, 'San Valentin', 29);
INSERT INTO venta VALUES(433, 'San Valentin', 104);
INSERT INTO venta VALUES(434, 'Sin IVA', 20);
INSERT INTO venta VALUES(435, 'Escolar', 16);
INSERT INTO venta VALUES(436, 'Año nuevo', 91);
INSERT INTO venta VALUES(437, 'Navidad', 46);
INSERT INTO venta VALUES(438, 'Black Friday', 60);
INSERT INTO venta VALUES(439, 'San Valentin', 40);
INSERT INTO venta VALUES(440, 'Año nuevo', 139);
INSERT INTO venta VALUES(441, 'Año nuevo', 38);
INSERT INTO venta VALUES(442, 'Halloween', 40);
INSERT INTO venta VALUES(443, 'Año nuevo', 150);
INSERT INTO venta VALUES(444, 'Navidad', 51);
INSERT INTO venta VALUES(445, 'Navidad', 22);
INSERT INTO venta VALUES(446, 'Black Friday', 29);
INSERT INTO venta VALUES(447, 'Black Friday', 62);
INSERT INTO venta VALUES(448, 'Año nuevo', 15);
INSERT INTO venta VALUES(449, 'Halloween', 41);
INSERT INTO venta VALUES(450, 'Black Friday', 64);
INSERT INTO venta VALUES(451, 'Sin IVA', 1);
INSERT INTO venta VALUES(452, 'Black Friday', 11);
INSERT INTO venta VALUES(453, 'Black Friday', 138);
INSERT INTO venta VALUES(454, 'Navidad', 41);
INSERT INTO venta VALUES(455, 'Navidad', 98);
INSERT INTO venta VALUES(456, 'Black Friday', 69);
INSERT INTO venta VALUES(457, 'Escolar', 94);
INSERT INTO venta VALUES(458, 'Black Friday', 106);
INSERT INTO venta VALUES(459, 'Año nuevo', 146);
INSERT INTO venta VALUES(460, 'Sin IVA', 12);
INSERT INTO venta VALUES(461, 'Año nuevo', 102);
INSERT INTO venta VALUES(462, 'Black Friday', 87);
INSERT INTO venta VALUES(463, 'Sin IVA', 128);
INSERT INTO venta VALUES(464, 'Año nuevo', 142);
INSERT INTO venta VALUES(465, 'San Valentin', 50);
INSERT INTO venta VALUES(466, 'Año nuevo', 76);
INSERT INTO venta VALUES(467, 'Escolar', 48);
INSERT INTO venta VALUES(468, 'Black Friday', 103);
INSERT INTO venta VALUES(469, 'San Valentin', 74);
INSERT INTO venta VALUES(470, 'Halloween', 91);
INSERT INTO venta VALUES(471, 'Escolar', 39);
INSERT INTO venta VALUES(472, 'Escolar', 78);
INSERT INTO venta VALUES(473, 'Black Friday', 134);
INSERT INTO venta VALUES(474, 'Sin IVA', 26);
INSERT INTO venta VALUES(475, 'Black Friday', 120);
INSERT INTO venta VALUES(476, 'Navidad', 62);
INSERT INTO venta VALUES(477, 'Escolar', 53);
INSERT INTO venta VALUES(478, 'Navidad', 35);
INSERT INTO venta VALUES(479, 'Escolar', 147);
INSERT INTO venta VALUES(480, 'Navidad', 84);
INSERT INTO venta VALUES(481, 'Sin IVA', 82);
INSERT INTO venta VALUES(482, 'Año nuevo', 3);
INSERT INTO venta VALUES(483, 'Halloween', 60);
INSERT INTO venta VALUES(484, 'Black Friday', 142);
INSERT INTO venta VALUES(485, 'Halloween', 12);
INSERT INTO venta VALUES(486, 'Navidad', 18);
INSERT INTO venta VALUES(487, 'Escolar', 131);
INSERT INTO venta VALUES(488, 'Navidad', 10);
INSERT INTO venta VALUES(489, 'Halloween', 149);
INSERT INTO venta VALUES(490, 'Navidad', 106);
INSERT INTO venta VALUES(491, 'Sin IVA', 37);
INSERT INTO venta VALUES(492, 'San Valentin', 79);
INSERT INTO venta VALUES(493, 'Navidad', 141);
INSERT INTO venta VALUES(494, 'Año nuevo', 89);
INSERT INTO venta VALUES(495, 'Black Friday', 125);
INSERT INTO venta VALUES(496, 'Escolar', 50);
INSERT INTO venta VALUES(497, 'San Valentin', 146);
INSERT INTO venta VALUES(498, 'Año nuevo', 87);
INSERT INTO venta VALUES(499, 'San Valentin', 19);
INSERT INTO venta VALUES(500, 'Escolar', 92);
INSERT INTO venta VALUES(501, 'San Valentin', 56);
